m,n,block_size_x,block_size_y,cpu_time_allocating,time_allocating,speedup_time_allocating,cpu_time_compute,time_compute,speedup_time_compute,cpu_time_calc_averages,time_calc_averages,speedup_time_calc_averages
8192,8192,8,8,0.023000,0.001792,12.834822,18051.085938,552.801025,32.653858,55.543999,7751.567871,0.007166
16,16,16,16,0.002000,0.005216,0.383436,0.057000,0.067584,0.843395,0.001000,0.006336,0.157828
32,32,16,16,0.005000,0.004096,1.220703,0.226000,0.066688,3.388916,0.001000,0.008192,0.122070
64,64,16,16,0.005000,0.005152,0.970497,0.899000,0.067264,13.365248,0.003000,0.012576,0.238550
128,128,16,16,0.006000,0.004704,1.275510,3.630000,0.098784,36.746841,0.014000,0.035072,0.399179
256,256,16,16,0.008000,0.004096,1.953125,14.496000,0.215456,67.280563,0.053000,0.227584,0.232881
512,512,16,16,0.009000,0.004096,2.197266,57.817001,0.728864,79.324814,0.212000,1.722048,0.123109
1024,1024,16,16,0.034000,0.000640,53.125004,272.565002,4.962240,54.927814,0.891000,27.407137,0.032510
2048,2048,16,16,0.025000,0.000800,31.250002,1095.521973,22.994881,47.641994,3.478000,228.748413,0.015204
4096,4096,16,16,0.026000,0.001344,19.345238,4376.732910,89.982559,48.639790,13.881000,1816.484131,0.007642
8192,8192,16,16,0.023000,0.002048,11.230469,17900.019531,552.443909,32.401516,55.483002,14336.763672,0.003870
32,32,32,32,0.005000,0.004704,1.062925,0.226000,0.156800,1.441326,0.002000,0.022816,0.087658
64,64,32,32,0.007000,0.005440,1.286765,0.923000,0.163840,5.633545,0.003000,0.043488,0.068985
128,128,32,32,0.005000,0.005312,0.941265,3.640000,0.160480,22.681955,0.014000,0.079872,0.175280
256,256,32,32,0.006000,0.005344,1.122754,14.569000,0.301056,48.392990,0.053000,0.602944,0.087902
512,512,32,32,0.016000,0.004704,3.401361,57.916000,0.817152,70.875427,0.211000,5.956064,0.035426
1024,1024,32,32,0.027000,0.002048,13.183594,273.105011,5.482848,49.810791,0.860000,54.524384,0.015773
2048,2048,32,32,0.026000,0.000576,45.138889,1089.146973,23.370049,46.604397,3.473000,435.736572,0.007970
4096,4096,32,32,0.025000,0.000448,55.803570,4385.441895,98.678078,44.441906,13.947000,3475.674805,0.004013
8192,8192,32,32,0.023000,2.347744,0.009797,17649.369141,579.540894,30.454054,55.532001,27582.357422,0.002013
64,64,64,64,0.007000,0.004704,1.488095,0.899000,0.004096,219.482422,0.004000,0.003008,1.329787
128,128,64,64,0.005000,0.004576,1.092657,3.628000,0.003840,944.791687,0.013000,0.003840,3.385417
256,256,64,64,0.005000,0.004704,1.062925,14.457000,2.339968,6.178289,0.054000,0.003968,13.608871
512,512,64,64,0.013000,0.005472,2.375731,57.949001,2.337824,24.787580,0.212000,0.004096,51.757812
1024,1024,64,64,0.018000,0.001696,10.613207,325.648010,2.339200,139.213409,1.219000,0.003552,343.186920
2048,2048,64,64,0.019000,2.345184,0.008102,1090.451050,2.346016,464.809723,3.478000,0.003648,953.399109
4096,4096,64,64,0.022000,0.002048,10.742188,4366.639160,2.334816,1870.228394,13.895000,0.003648,3808.936523
8192,8192,64,64,0.021000,0.001888,11.122881,17811.167969,2.350336,7578.136719,55.501999,0.003520,15767.613281
128,128,128,128,0.005000,0.004672,1.070205,3.620000,0.004064,890.747986,0.013000,0.003360,3.869048
256,256,128,128,0.006000,0.005728,1.047486,14.530000,2.344288,6.198043,0.054000,0.004096,13.183594
512,512,128,128,0.013000,0.004256,3.054512,58.013000,2.339904,24.792896,0.212000,0.003040,69.736839
1024,1024,128,128,0.028000,0.000640,43.750004,276.989014,2.351744,117.780258,0.908000,0.002688,337.797607
2048,2048,128,128,0.020000,0.000640,31.250000,1090.458008,2.340864,465.835693,3.485000,0.003840,907.552063
4096,4096,128,128,0.019000,0.000992,19.153225,4390.450195,2.332160,1882.568237,13.975000,0.004096,3411.865234
8192,8192,128,128,0.022000,0.001696,12.971698,17693.343750,0.705952,25063.097656,55.757999,0.003840,14520.312500
256,256,256,256,0.007000,0.004704,1.488095,14.472000,2.341664,6.180221,0.053000,0.002432,21.792765
512,512,256,256,0.012000,0.005216,2.300613,58.486000,2.347936,24.909538,0.214000,0.004096,52.246094
1024,1024,256,256,0.020000,0.001312,15.243902,273.119995,2.338240,116.805801,0.878000,0.004096,214.355469
