m,n,block_size_x,block_size_y,cpu_time_allocating,time_allocating,speedup_time_allocating,cpu_time_compute,time_compute,speedup_time_compute,cpu_time_calc_averages,time_calc_averages,speedup_time_calc_averages
10000,10000,2,2,0.022000,0.339456,0.064810,25588.619141,1882.956177,13.589599,80.429001,18.257471,4.405265
10000,10000,20,20,0.021000,0.362496,0.057932,25590.128906,246.175873,103.950600,80.401001,2.516128,31.954256
1000,1000,2,2,0.015000,0.261344,0.057396,252.151001,23.166977,10.884070,0.861000,7.009824,0.122828
6,6,2,2,0.010000,0.083104,0.120331,0.008000,0.088416,0.090481,0.000000,0.019552,0.000000
6,6,2,2,0.001000,0.084096,0.011891,0.009000,0.079712,0.112906,0.001000,0.017344,0.057657
6,6,2,2,0.001000,0.092064,0.010862,0.018000,0.075936,0.237042,0.001000,0.020288,0.049290
6,6,2,2,0.002000,0.108064,0.018508,0.106000,0.511936,0.207057,0.001000,0.019616,0.050979
6,6,2,2,0.002000,0.105088,0.019032,0.028000,0.110272,0.253918,0.000000,0.026208,0.000000
6,6,2,2,0.002000,0.102304,0.019550,0.017000,0.096256,0.176612,0.000000,0.018144,0.000000
6,6,2,2,0.001000,0.105440,0.009484,0.009000,0.124064,0.072543,0.001000,0.018240,0.054825
1000,1000,2,2,0.018000,0.243552,0.073906,2522.591064,218.214432,11.560147,0.869000,0.230144,3.775897
1000,1000,2,2,0.025000,0.241760,0.103408,2549.943115,225.681595,11.298853,0.834000,0.241664,3.451072
1000,1000,2,2,0.025000,0.241824,0.103381,2550.385010,225.750687,11.297352,0.849000,0.238432,3.560764
1000,1000,2,2,0.027000,0.243616,0.110830,2548.872070,218.242020,11.679108,0.859000,0.235296,3.650721
1000,1000,20,20,0.054000,0.252480,0.213878,2565.461914,30.330879,84.582512,0.866000,0.065536,13.214111
